0;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']]
  return df
";{0: 0.7200387895382333}
1;"
  df = df[['age', 'chol', 'thalachh', 'cp', 'oldpeak']]
  return df
";{0: 0.7547820716900614}
2;"
  df = df[['age', 'exng', 'thalachh', 'cp', 'oldpeak']]
  return df
";{0: 0.7409815598061289}
3;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']]
  return df
";{0: 0.7120818002909214}
4;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']].dropna()
  return df
";{0: 0.7200387895382333}
5;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']]
  return df
";{0: 0.7120818002909214}
6;"
  df = df[['age', 'chol', 'thalachh', 'cp', 'oldpeak']]
  return df
";{0: 0.7528465878190937}
7;"
  df = df[['age', 'chol', 'thalachh', 'cp', 'oldpeak']]
  df = pd.get_dummies(df, columns=['cp'], drop_first=True)
  df = df.dropna()
  return df
";{0: 0.7491525579683473}
8;"
  df = df[['age', 'exng', 'thalachh', 'cp', 'oldpeak']]
  return df
";{0: 0.7476482264727956}
9;"
  df = df[['cp', 'thalachh', 'oldpeak', 'caa', 'exng']]
  return df
";{0: 0.7900495663494831}
10;"
  # Selecting the five most important columns from the dataset
  df = df[['age', 'chol', 'thalachh', 'cp', 'oldpeak']]
  
  return df
";{0: 0.7416601471411276}
11;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']]
  df['sex'] = df['sex'].apply(lambda x: 1 if x == 'Male' else 0)
  df = pd.get_dummies(df, columns=['cp'], drop_first=True)
  df = df.dropna()
  return df
";{0: 0.7258460265664776}
12;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']]
  return df
";{0: 0.7226828931870963}
14;"
  df = df[['age', 'sex', 'cp', 'trtbps', 'chol']]
  df = pd.get_dummies(df, columns=['sex', 'cp'], drop_first=True)
  df.dropna(inplace=True)
  return df
";{0: 0.7416183223524714}
15;"
  return df[['age', 'sex', 'cp', 'trtbps', 'chol']].dropna()
";{0: 0.7200387895382333}
