4;"
  df = df[['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes', 
           'Customer service calls', 'State', 'International plan', 'Voice mail plan']]
  
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.29173388953759577}
6;"
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encode categorical columns 'International plan' and 'Voice mail plan'
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.33997950173446867}
8;"
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.3478899835796388}
9;"
  df = df[['Total day minutes', 'Total eve minutes', 'Customer service calls', 'International plan', 'Voice mail plan',
           'Total intl minutes', 'Total night minutes', 'Total day charge']]
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df.dropna(inplace=True)
  
  return df
";{0: 0.3004231504887496}
11;"
  df = df[['State', 'Account length', 'International plan', 'Customer service calls',
           'Total day minutes', 'Total eve minutes', 'Total night minutes',
           'Total intl minutes']]
  
  # One-hot encode categorical columns
  df = pd.get_dummies(df, columns=['State', 'International plan'], drop_first=True)
  
  # Drop rows with NA values
  df = df.dropna()
  
  return df
";{0: 0.3178925139900749}
14;"
  # Select specific columns
  df = df[['State', 'Account length', 'International plan', 'Customer service calls',
           'Total day minutes', 'Total eve minutes', 'Total night minutes',
           'Total intl minutes']]
  
  # One-hot encode categorical columns
  df = pd.get_dummies(df, columns=['State', 'International plan'], drop_first=True)
  
  # Drop rows with NA values
  df = df.dropna()
  
  return df
";{0: 0.3196316444248576}
16;"
  df = df[['State', 'Account length', 'International plan', 'Customer service calls',
           'Total day minutes', 'Total eve minutes', 'Total night minutes',
           'Total intl minutes']]
  
  df = pd.get_dummies(df, columns=['State', 'International plan'], drop_first=True)
  
  df = df.dropna()
  
  return df
";{0: 0.3174047091120261}
17;"
  selected_columns = ['Total day minutes', 'Total eve minutes', 'Customer service calls', 'International plan', 
                      'Voice mail plan', 'Total intl minutes', 'Total night minutes', 'Total day charge']
  
  df = df[selected_columns]
  
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.304008706649156}
18;"
  # Select the 8 most important columns
  df = df[['State', 'Account length', 'International plan', 'Customer service calls',
           'Total day minutes', 'Total eve minutes', 'Total night minutes',
           'Total intl minutes']]
  
  # One-hot encode categorical columns
  df = pd.get_dummies(df, columns=['State', 'International plan'], drop_first=True)
  
  # Drop rows with NA values
  df = df.dropna()
  
  return df
";{0: 0.3209694370669981}
22;"
  return df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']].dropna().pipe(lambda df: pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True))
";{0: 0.33934715821812594}
28;"
  selected_columns = ['Total day minutes', 'Total eve minutes', 'Customer service calls', 'International plan', 
                      'Voice mail plan', 'Total intl minutes', 'Total night minutes', 'Total day charge']
  
  df = df[selected_columns]
  
  df['International plan'] = np.where(df['International plan'] == 'yes', 1, 0)
  df['Voice mail plan'] = np.where(df['Voice mail plan'] == 'yes', 1, 0)
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.29710031638816464}
29;"
  # Selecting important columns
  df = df[['State', 'Account length', 'International plan', 'Customer service calls',
           'Total day minutes', 'Total eve minutes', 'Total night minutes',
           'Total intl minutes']]
  
  # One-hot encode categorical columns
  df = pd.get_dummies(df, columns=['State', 'International plan'], drop_first=True)
  
  # Dropping rows with NA values
  df = df.dropna()
  
  return df
";{0: 0.3143482101926066}
34;"
  df = df[['Total day minutes', 'Total eve minutes', 'Customer service calls', 'International plan', 'Voice mail plan',
           'Total intl minutes', 'Total night minutes', 'Total day charge']]
  df['International plan'] = np.where(df['International plan'] == 'yes', 1, 0)
  df['Voice mail plan'] = np.where(df['Voice mail plan'] == 'yes', 1, 0)
  df.dropna(inplace=True)
  
  return df
";{0: 0.29996360446451903}
48;"
  df = df[['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes', 
           'Customer service calls', 'State', 'International plan', 'Voice mail plan']]
  
  # Encode 'International plan' and 'Voice mail plan' as binary variables
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  # Perform one-hot encoding on the 'State' column
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.29992463287560417}
49;"
  # Selecting the desired columns
  df = df[['State', 'Account length', 'International plan', 'Customer service calls',
           'Total day minutes', 'Total eve minutes', 'Total night minutes',
           'Total intl minutes']]

  # One-hot encode categorical columns
  df = pd.get_dummies(df, columns=['State', 'International plan'], drop_first=True)
  
  # Dropping rows with NA values
  df = df.dropna()
  
  return df
";{0: 0.3254998759532651}
50;"
  return df[['State', 'Account length', 'International plan', 'Customer service calls',
             'Total day minutes', 'Total eve minutes', 'Total night minutes',
             'Total intl minutes']].dropna().pipe(lambda x: pd.get_dummies(x, columns=['State', 'International plan'], drop_first=True))
";{0: 0.3254998759532651}
54;"
  # Selecting important columns
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encoding categorical columns
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Dropping rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3433673469387755}
58;"
  # Selecting the 8 most important columns
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encoding categorical columns
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Dropping rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3444235588972432}
60;"
  cols_to_keep = ['Total day minutes', 'Total eve minutes', 'Customer service calls', 'International plan', 'Voice mail plan',
                  'Total intl minutes', 'Total night minutes', 'Total day charge']
  
  df = df[cols_to_keep]
  
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.3028183600695879}
62;"
  # Selecting important columns
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]

  # One-hot encoding categorical columns
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)

  # Dropping rows with missing values
  df.dropna(inplace=True)

  return df
";{0: 0.34096638655462186}
63;"
  # Select the specified columns from the dataset
  df = df[['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes', 
           'Customer service calls', 'State', 'International plan', 'Voice mail plan']]
  
  # Encode 'International plan' and 'Voice mail plan' as binary variables
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  # Perform one-hot encoding on the 'State' column
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  # Return the preprocessed dataset
  return df
";{0: 0.2939087728810731}
69;"
  return df[['Account length', 'Customer service calls',
             'Total day minutes', 'Total eve minutes', 'Total night minutes',
             'Total intl minutes']]
";{0: 0.28516939129126523}
76;"
  # Select the most important columns
  df = df[['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes', 
           'Customer service calls', 'State', 'International plan', 'Voice mail plan']]

  # Encode binary variables
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  # Perform one-hot encoding on the 'State' column
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.29568550244082153}
82;"
  # Select and re-order columns
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encode categorical columns 'International plan' and 'Voice mail plan', drop first for each
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3452059202059202}
84;"
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'])
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.3410823411708803}
85;"
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encode categorical columns 'International plan' and 'Voice mail plan', drop first for each
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3497043783956536}
87;"
# Continue the code from where it leaves off
  features = ['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes',
              'Customer service calls', 'International plan', 'Voice mail plan']

  # Encode binary variables
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  # Perform one-hot encoding on the 'State' column
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df[features]
";{0: 0.3272250466630357}
88;"
  # Selecting the 8 most important columns
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encoding categorical columns 'International plan' and 'Voice mail plan'
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Dropping rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.34179197994987465}
89;"
  features = ['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes',
              'Customer service calls', 'International plan', 'Voice mail plan']

  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)

  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  df.dropna(inplace=True)

  return df[features]
";{0: 0.3225416535925459}
94;"
  features = ['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes',
              'Customer service calls', 'International plan', 'Voice mail plan']
  
  # Encode binary variables
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)
  
  # Perform one-hot encoding on the 'State' column
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df[features]
";{0: 0.3248620462743843}
100;"
  features = ['Total day minutes', 'Number vmail messages', 'Total eve minutes', 'Total intl minutes',
              'Customer service calls', 'International plan', 'Voice mail plan']

  # Encode 'International plan' and 'Voice mail plan' as binary variables
  df['International plan'] = df['International plan'].apply(lambda x: 1 if x == 'yes' else 0)
  df['Voice mail plan'] = df['Voice mail plan'].apply(lambda x: 1 if x == 'yes' else 0)

  # Perform one-hot encoding on the 'State' column
  df = pd.get_dummies(df, columns=['State'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)

  return df[features]
";{0: 0.3255046165555089}
110;"
  df = df[['Account length', 'International plan', 'Voice mail plan', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes', 'Customer service calls']]
  
  # One-hot encode categorical columns 'International plan' and 'Voice mail plan' dropping the first column
  df = pd.get_dummies(df, columns=['International plan', 'Voice mail plan'], drop_first=True)
  
  # Drop rows with missing values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3419278033794163}
